movieId,title,genres
87004,Pina (2011),Documentary|Musical
87028,"Roommate, The (2011)",Drama|Thriller
87040,"Housemaid, The (Hanyo) (1960)",Crime|Drama|Horror
87079,Trust (2010),Drama|Thriller
87096,Group Sex (2010),Comedy
87115,"Speed Of Thought, The (2011)",Sci-Fi|Thriller
87166,Stolen (Stolen Lives) (2009),Crime|Drama|Mystery|Thriller
87179,"Sisters, The (1938)",Drama
87181,"Double Hour, The (La doppia ora) (2009)",Crime|Drama|Mystery|Romance|Thriller
87192,Attack the Block (2011),Action|Comedy|Sci-Fi
87197,Let the Bullets Fly (2010),Action|Comedy
87210,Wake (2009),Comedy|Drama|Romance
87222,Kung Fu Panda 2 (2011),Action|Adventure|Animation|Children|Comedy|IMAX
87232,X-Men: First Class (2011),Action|Adventure|Sci-Fi|Thriller|War
87234,Submarine (2010),Comedy|Drama|Romance
87260,Raffles (1930),Adventure|Crime|Drama|Romance|Thriller
87270,"Other Woman, The (2009)",Drama
87298,Everything Must Go (2010),Comedy|Drama
87302,Red White & Blue (2010),Drama|Mystery|Romance
87304,Beginners (2010),Drama
87306,Super 8 (2011),Mystery|Sci-Fi|Thriller|IMAX
87314,Lottery Ticket (2010),Comedy
87405,Daydream Nation (2010),Drama|Romance
87430,Green Lantern (2011),Action|Adventure|Sci-Fi
87469,Cinema Verite (2011),Drama
87471,"Yoo-Hoo, Mrs. Goldberg (2009)",Documentary
87483,Mr. Popper's Penguins (2011),Comedy
87485,Bad Teacher (2011),Comedy
87520,Transformers: Dark of the Moon (2011),Action|Adventure|Sci-Fi|War|IMAX
87522,Larry Crowne (2011),Comedy|Drama|Romance
87529,Your Highness (2011),Action|Adventure|Comedy|Fantasy
87547,Hand Gun (1994),Action|Crime|Drama|Thriller
87558,When Ladies Meet (1933),Comedy|Romance
87660,Too Big to Fail (2011),Drama
87785,Takers (2010),Action|Crime|Thriller
87867,Zookeeper (2011),Comedy
87869,Horrible Bosses (2011),Comedy|Crime
87876,Cars 2 (2011),Adventure|Animation|Children|Comedy|IMAX
87911,I Am You (In Her Skin) (2009),Drama|Thriller
87921,"Ward, The (2010)",Horror|Thriller
87930,Page One: Inside the New York Times (2011),Documentary
87971,Anton Chekhov's The Duel (2010),Drama
87973,"Betrayed, The (2009)",Crime|Drama|Mystery|Thriller
87975,Burn Notice: The Fall of Sam Axe (2011),Crime|Drama|Mystery
88005,Laws of Gravity (1992),Drama
88042,Cornered (1945),Film-Noir|Thriller
88094,Upside Down: The Creation Records Story (2010),Documentary
88118,"Perfect Host, The (2010)",Crime|Drama|Thriller
88125,Harry Potter and the Deathly Hallows: Part 2 (2011),Action|Adventure|Drama|Fantasy|Mystery|IMAX
88127,Conan O'Brien Can't Stop (2011),Documentary
88129,Drive (2011),Crime|Drama|Film-Noir|Thriller
88131,Love Crime (Crime d'amour) (2010),Crime|Mystery|Thriller
88140,Captain America: The First Avenger (2011),Action|Adventure|Sci-Fi|Thriller|War
88163,"Crazy, Stupid, Love. (2011)",Comedy|Drama|Romance
88179,One Day (2011),Drama|Romance
88235,"Guard, The (2011)",Comedy|Crime
88237,Griff the Invisible (2011),Comedy|Drama|Romance
