movieId,title,genres
25930,Odd Man Out (1947),Crime|Drama|Film-Noir|Thriller
25932,"Two Mrs. Carrolls, The (1947)",Crime|Drama|Film-Noir|Thriller
25936,"Babe Ruth Story, The (1948)",Drama
25937,Easter Parade (1948),Musical|Romance
25938,Fort Apache (1948),Western
25940,"Lady from Shanghai, The (1947)",Drama|Film-Noir|Mystery
25941,Letter from an Unknown Woman (1948),Drama|Romance
25943,"Naked City, The (1948)",Crime|Drama|Film-Noir|Mystery
25945,They Live by Night (1949),Crime|Film-Noir|Romance
25947,Unfaithfully Yours (1948),Comedy
25950,"Barkleys of Broadway, The (1949)",Comedy|Musical
25952,"Letter to Three Wives, A (1949)",Comedy|Drama
25954,Orpheus (Orphée) (1950),Drama|Fantasy|Romance
25961,"Gunfighter, The (1950)",Action|Western
25962,King Solomon's Mines (1950),Action|Adventure|Romance
25963,"Young and the Damned, The (Olvidados, Los) (1950)",Crime|Drama
25971,Carrie (1952),Drama|Romance
25972,Clash by Night (1952),Drama|Film-Noir
25975,"Life of Oharu, The (Saikaku ichidai onna) (1952)",Drama
25993,Magnificent Obsession (1954),Drama|Romance
25994,Salt of the Earth (1954),Drama
25995,Samurai I: Musashi Miyamoto (Miyamoto Musashi) (1954),Action|Adventure|Drama
25996,"Star Is Born, A (1954)",Drama|Musical
25998,Three Coins in the Fountain (1954),Drama|Romance
25999,The Wild One (1953),Drama
26000,"Cobweb, The (1955)",Drama
26002,Confidential Report (1955),Crime|Drama|Mystery|Thriller
26003,Night and Fog (Nuit et brouillard) (1955),Crime|Documentary|War
26005,Samurai II: Duel at Ichijoji Temple (Zoku Miyamoto Musashi: Ichijôji no kettô) (1955),Action|Adventure|Drama
26007,"Unknown Soldier, The (Tuntematon sotilas) (1955)",Drama|War
26010,Carousel (1956),Musical|Romance
26012,Samurai III: Duel on Ganryu Island (a.k.a. Bushido) (Miyamoto Musashi kanketsuhen: kettô Ganryûjima) (1956),Action|Adventure|Drama
26021,Jailhouse Rock (1957),Crime|Drama|Musical|Romance
26034,"Last Hurrah, The (1958)",Drama
26038,Teacher's Pet (1958),Comedy|Romance
26043,"Vikings, The (1958)",Action|Adventure
26044,Al Capone (1959),Crime|Drama
26051,"Nun's Story, The (1959)",Drama
26052,Pickpocket (1959),Crime|Drama
